Unnamed: 0,text,timestamp,source,symbols,company_names,Sentiment
2,"['Who', 'say', 'American', 'Dream', 'dead']",Wed Jul 18 22:32:01 +0000 2018,TheStreet,AIG,American,-1
4,"['How', 'satellite', 'avoid', 'attack', 'space', 'junk', 'circling', 'Earth', 'paid', 'Oracle']",Wed Jul 18 23:00:01 +0000 2018,Forbes,ORCL,Oracle,-1
10,"['U', 'S', 'proposes', 'expedited', 'appeal', 'fight', 'AT', 'amp', 'T', 'Time', 'Warner', 'purchase']",Wed Jul 18 23:18:36 +0000 2018,Reuters,TWX,Time Warner,-1
14,"['Customers', 'urge', 'boycott', 'MGM', 'Resorts', 'casino', 'file', 'lawsuit', 'mass', 'shooting', 'victim']",Wed Jul 18 23:26:33 +0000 2018,business,MGM,MGM Resorts,-1
23,"['EBay', 'revenue', 'miss', 'weak', 'U', 'S', 'sporting', 'season', 'hit', 'StubHub']",Thu Jul 19 00:30:43 +0000 2018,Reuters,EBAY,eBay,-1
28,"['Arthur', 'J', 'Gallagher', 'amp', 'Co', 'AJG', 'v', 'Marsh', 'amp', 'McLennan', 'Companies', 'MMC', 'Critical', 'Contrast']",Sun Jul 08 22:23:07 +0000 2018,ConsumerFeed,AJG,Arthur J. Gallagher & Co.,-1
29,"['Arthur', 'J', 'Gallagher', 'amp', 'Co', 'AJG', 'v', 'Marsh', 'amp', 'McLennan', 'Companies', 'MMC', 'Critical', 'Contrast']",Sun Jul 08 22:26:52 +0000 2018,MareaInformativ,AJG,Arthur J. Gallagher & Co.,-1
39,"['Wondering', 'risk', 'IRM', 'The', 'day', 'volatility']",Sun Jul 08 23:27:02 +0000 2018,1MinuteStock,IRM,Iron Mountain Incorporated,-1
40,"['ORLY', 'Max', 'Pain', 'Maturity', 'maxpain', 'option']",Sun Jul 08 23:27:08 +0000 2018,optioncharts,ORLY,O'Reilly Automotive,-1
41,"['AVB', 'Max', 'Pain', 'Maturity', 'maxpain', 'option']",Sun Jul 08 23:38:12 +0000 2018,optioncharts,AVB,AvalonBay Communities,-1
51,"['JEC', 'Max', 'Pain', 'Maturity', 'maxpain', 'option']",Mon Jul 09 00:31:10 +0000 2018,optioncharts,JEC,Jacobs Engineering Group Inc.,-1
60,"['REG', 'Max', 'Pain', 'maturity', 'maxpain', 'option']",Mon Jul 09 01:02:17 +0000 2018,optioncharts,REG,Regency Centers Corporation,-1
82,"['Weekly', 'Recap', 'HSY', 'price', 'moved', 'since', 'post', 'next', 'stop', 'Other', 'trade', 'included', 'AA', 'SPY', 'BABA', 'MDSO', 'AYI', 'FB', 'SH']",Mon Jul 09 02:54:31 +0000 2018,aboutheoptions,HSY,The Hershey Company,-1
107,"['Everest', 'Re', 'Group', 'RE', 'Heritage', 'Insurance', 'HRTG', 'Critical', 'Contrast']",Mon Jul 09 06:27:35 +0000 2018,TranscriptDaily,RE,Everest Re Group,-1
116,"['Critical', 'Survey', 'C', 'H', 'Robinson', 'Worldwide', 'CHRW', 'Expeditors', 'International', 'Washington', 'EXPD']",Mon Jul 09 06:45:32 +0000 2018,TickerReport,EXPD,Expeditors International of Washington,-1
117,"['Affiliated', 'Managers', 'Group', 'AMG', 'versus', 'PJT', 'Partners', 'PJT', 'Critical', 'Analysis']",Mon Jul 09 06:46:26 +0000 2018,WeekHerald,AMG,Affiliated Managers Group,-1
118,"['PNR', 'ready', 'attack', 'recent', 'high', 'need', 'volume']",Mon Jul 09 06:48:56 +0000 2018,______JG,PNR,Pentair plc,-1
125,"['Q2', 'QTWO', 'versus', 'ANSYS', 'ANSS', 'Critical', 'Review']",Mon Jul 09 07:04:54 +0000 2018,dailypoliticaln,ANSS,ANSYS,-1
136,"['Critical', 'Survey', 'Nelnet', 'NNI', 'v', 'SLM', 'SLM']",Mon Jul 09 07:42:36 +0000 2018,TheMarketsDaily,SLM,SLM Corporation,-1
138,"['Laboratory', 'Corp', 'America', 'LH', 'versus', 'InVitae', 'NVTA', 'Critical', 'Contrast']",Mon Jul 09 07:53:30 +0000 2018,ThisLincolnian,LH,Laboratory Corporation of America Holdings,-1
156,"['Turquoise', 'Hill', 'Resources', 'TRQ', 'Cut', 'Sell', 'ValuEngine']",Mon Jul 09 08:44:09 +0000 2018,dakotafinancial,TRQ,Turquoise Hill Resources Ltd.,-1
164,"['Wondering', 'risk', 'FBHS', 'The', 'day', 'volatility']",Mon Jul 09 09:16:03 +0000 2018,1MinuteStock,FBHS,Fortune Brands Home & Security,-1
176,"['KIM', 'Max', 'Pain', 'maturity', 'maxpain', 'option']",Mon Jul 09 10:06:53 +0000 2018,optioncharts,KIM,Kimco Realty Corporation,-1
181,"['Everest', 'Re', 'Group', 'RE', 'Heritage', 'Insurance', 'HRTG', 'Critical', 'Contrast']",Mon Jul 09 10:16:23 +0000 2018,MareaInformativ,RE,Everest Re Group,-1
207,"['AON', 'AON', 'Cut', 'Hold', 'Zacks', 'Investment', 'Research']",Mon Jul 09 11:15:10 +0000 2018,EnterpriseLeade,AON,Aon plc,-1
209,"['Critical', 'Analysis', 'CenterPoint', 'Energy', 'CNP', 'amp', 'Dominion', 'Energy', 'D']",Mon Jul 09 11:19:29 +0000 2018,dakotafinancial,CNP,CenterPoint Energy,-1
219,"['TROW', 'Max', 'Pain', 'maturity', 'maxpain', 'option']",Mon Jul 09 11:46:08 +0000 2018,optioncharts,TROW,T. Rowe Price Group,-1
220,"['HRS', 'worst', 'case', 'target']",Mon Jul 09 11:49:01 +0000 2018,3TriggerTrader,HRS,Harris Corporation,-1
270,"['Critical', 'Review', 'Gentex', 'GNTX', 'versus', 'Delphi', 'Technologies', 'DLPH']",Mon Jul 09 13:03:41 +0000 2018,ThisLincolnian,GNTX,Gentex Corporation,-1
277,"['Critical', 'Contrast', 'InVitae', 'NVTA', 'versus', 'Laboratory', 'Corp', 'America', 'LH']",Mon Jul 09 13:06:51 +0000 2018,TranscriptDaily,LH,Laboratory Corporation of America Holdings,-1
286,"['Low', 'IV', 'Watch', 'List', 'PTLA', 'DVMT', 'SHPG', 'VMW', 'GBT', 'WMT', 'RCII', 'EXEL', 'KR', 'WPM', 'HRB', 'CTL', 'RSX', 'VKTX', 'ROKU', 'EVHC', 'CSCO']",Mon Jul 09 13:11:53 +0000 2018,TradeAcademyCo,DLTR,Dollar Tree,-1
316,"['GNCA', 'Methods', 'improving', 'immunogenicity', 'efficacy', 'cancer', 'vaccine', 'Genocea']",Mon Jul 09 13:50:52 +0000 2018,TamaleNacho,GNCA,Genocea Biosciences,-1
329,"['Companies', 'could', 'defy', 'odds', 'earnings', 'season', 'Earnings', 'ADBE', 'AZO', 'KO']",Mon Jul 09 14:05:38 +0000 2018,whotrades,AZO,AutoZone,-1
333,"['AVY', 'Max', 'Pain', 'Maturity', 'maxpain', 'option']",Mon Jul 09 14:10:14 +0000 2018,optioncharts,AVY,Avery Dennison Corporation,-1
350,"['Morgan', 'Stanley', 'upgrade', 'DLPH', 'Equal', 'Weight', 'Overweight']",Mon Jul 09 14:47:20 +0000 2018,usratings,DLPH,Delphi Technologies PLC,-1
352,"['Is', 'Mettler', 'toledo', 'International', 'Inc', 'MTD', 'Fuel', 'Running', 'Low', 'Reports', 'Show', 'More', 'Sellers']",Mon Jul 09 14:48:29 +0000 2018,reurope_stock,MTD,Mettler-Toledo International Inc.,-1
358,"['RT', 'TamaleNacho', 'GNCA', 'Methods', 'improving', 'immunogenicity', 'efficacy', 'cancer', 'vaccine', 'Genocea', 'ATLAS']",Mon Jul 09 14:54:30 +0000 2018,ajbrzski,GNCA,Genocea Biosciences,-1
367,"['WM', 'Max', 'Pain', 'maturity', 'maxpain', 'option']",Mon Jul 09 15:01:53 +0000 2018,optioncharts,WM,Waste Management,-1
