Unnamed: 0,text,timestamp,source,symbols,company_names,Sentiment
3,"['Barry', 'Silbert', 'extremely', 'optimistic', 'bitcoin', 'predicts', 'new', 'crypto', 'entrant', 'going', 'zero']",Wed Jul 18 22:52:52 +0000 2018,MarketWatch,BTC,Bitcoin,1
8,"['Senate', 'want', 'emergency', 'alert', 'go', 'Netflix', 'Spotify', 'etc', 'grg']",Wed Jul 18 23:09:00 +0000 2018,TechCrunch,NFLX,Netflix,1
20,"['Trump', 'tell', 'CBS', 'always', 'wanted', 'interviewed', 'Special', 'Counsel', 'Mueller', 'deflected', 'question', 'whethe']",Thu Jul 19 00:04:22 +0000 2018,business,CBS,CBS,1
25,"['RT', 'josheidelson', 'Exclusive', 'Elon', 'Musk', 'called', 'Sierra', 'Club', 'executive', 'director', 'Saturday', 'asked', 'help', 'via', 'Twitter', 'green', 'gr']",Thu Jul 19 00:37:46 +0000 2018,TheStalwart,TWTR,Twitter,1
26,"['New', 'time', 'Janet', 'Yellen', 'I', 'conversation', 'Brookings', 'Feb', 'PM', 'EST', 'Join', 'u', 'online', 'Facebook', 'Liv']",Fri Feb 23 18:50:19 +0000 2018,benbernanke,FB,Facebook,1
44,"['Analysts', 'Expect', 'Mosaic', 'Co', 'MOS', 'Will', 'Announce', 'Earnings', 'Per', 'Share']",Sun Jul 08 23:51:29 +0000 2018,TranscriptDaily,MOS,The Mosaic Company,1
46,"['In', 'day', 'I', 'doubled', 'account', 'option', 'trade', 'winner', 'nojoke', 'XRX', 'MRTX']",Sun Jul 08 23:58:17 +0000 2018,HarryPickens2,HSY,The Hershey Company,1
53,"['Short', 'sale', 'volume', 'short', 'interest', 'IJR', 'SENS', 'DVN', 'XLY', 'ODP']",Mon Jul 09 00:36:02 +0000 2018,shortvolumes,ODP,Office Depot,1
58,"['new', 'job', 'opening', 'growth', 'SNPS', 'v', 'CDNS']",Mon Jul 09 00:55:37 +0000 2018,naashonomics,SNPS,Synopsys,1
62,"['RT', 'OptionsHawk', 'AJG', 'CEO', 'bought', '600K', 'stock', 'may', 'one', 'follow', 'always', 'preferred', 'play', 'mine', 'group', 'sitting', 'right']",Mon Jul 09 01:09:15 +0000 2018,StayThirsty_Jay,AJG,Arthur J. Gallagher & Co.,1
73,"['Short', 'sale', 'vol', 'short', 'interest', 'CYH', 'THC', 'SEM', 'SSY', 'HCA']",Mon Jul 09 02:18:01 +0000 2018,shortvolumes,HCA,HCA Healthcare,1
77,"['Possible', 'play', 'SGMO', 'TXMD', 'ABUS', 'VKTX', 'ECYT', 'VSTM', 'SGYP', 'TRVN', 'NVAX', 'OPK', 'OCUL', 'GERN', 'VRX', 'TSRO', 'AKAO', 'Let', 'see', 'I', 'pick', 'Follow']",Mon Jul 09 02:38:56 +0000 2018,AceAnalyst,NVAX,Novavax,1
78,"['RT', 'tradewithjoe', 'SPY', 'OPTIONS', 'FLOW', 'ALERTS', 'EEM', 'ARRY', 'CARS', 'JD', 'BLL', 'V', 'CAZR', 'BX', 'VIPS', 'OPK', 'BAC', 'WFC', 'XOP', 'JW']",Mon Jul 09 02:39:23 +0000 2018,ThomasPace10,ARRY,Array BioPharma Inc.,1
80,"['Buying', 'option', 'land', 'Friday', 'QSR', 'IGT', 'SKX', 'VOYA', 'FCX', 'NVO', 'PXD', 'VIPS', 'VVV', 'SGMS', 'PII', 'ETFC', 'BLL', 'GPRO']",Mon Jul 09 02:44:19 +0000 2018,smartmoneyact,ARRY,Array BioPharma Inc.,1
81,"['Short', 'sale', 'volume', 'short', 'interest', 'WU', 'FIS', 'MA', 'MGI', 'WEX']",Mon Jul 09 02:54:02 +0000 2018,shortvolumes,FIS,Fidelity National Information Services,1
88,"['Short', 'sale', 'vol', 'short', 'interest', 'AMAT', 'LRCX', 'SNPS', 'TER', 'KLAC']",Mon Jul 09 04:18:02 +0000 2018,shortvolumes,SNPS,Synopsys,1
90,"['MOS', 'D1', 'outside', 'day', 'gt', '50SMA']",Mon Jul 09 04:50:19 +0000 2018,pnani456,MOS,The Mosaic Company,1
92,"['RT', 'kelvo1972', 'My', 'watch', 'list', 'tomorrow', 'FB', 'AAPL', 'BA', 'NVDA', 'BABA', 'EL', 'Same', 'always', 'When', 'learn', 'tune', 'small', 'hand', 'full']",Mon Jul 09 05:08:23 +0000 2018,trickmitch1,EL,The EstíëŒ©e Lauder Companies Inc.,1
95,"['REVERSE', 'MERGER', 'TWEET', 'PTEN', 'NWL', 'TJX', 'EPD', 'TBT', 'NE', 'TAL', 'SPXS', 'MXIM', 'WELL', 'MMM', 'SRC', 'CSX', 'KBR', 'MHK', 'ODP', 'MHK', 'SRC']",Mon Jul 09 05:10:52 +0000 2018,OneOClockDrop,ODP,Office Depot,1
97,"['RT', 'OneOClockDrop', 'REVERSE', 'MERGER', 'TWEET', 'PTEN', 'NWL', 'TJX', 'EPD', 'TBT', 'NE', 'TAL', 'SPXS', 'MXIM', 'WELL', 'MMM', 'SRC', 'CSX', 'KBR', 'MHK', 'ODP', 'MHK', 'SRC', 'PEP']",Mon Jul 09 05:24:34 +0000 2018,jnybgood2000,ODP,Office Depot,1
100,"['Short', 'sale', 'volume', 'short', 'interest', 'D', 'AEE', 'CMS', 'EXC', 'SRE']",Mon Jul 09 06:00:01 +0000 2018,shortvolumes,AEE,Ameren Corporation,1
101,"['AJG', 'Arthur', 'J', 'Gallagher', 'amp', 'Co', 'Acquires', 'Milne', 'Alexander', 'From', 'Stock', 'News', 'Alerts', 'App']",Mon Jul 09 06:05:42 +0000 2018,Allstocknews,AJG,Arthur J. Gallagher & Co.,1
127,"['AON', 'ApolloMinerals', 'Excellent', 'Infrastructure', 'Ground', 'Conditions', 'Confirmed', 'At', 'Historical', 'Salau', 'Tungsten', 'Mine']",Mon Jul 09 07:10:29 +0000 2018,Brand_UK,AON,Aon plc,1
